URL,Dialogue
http://www.aellea.com/emruf3/toyshop.html,"1. exterior. a london square. night. but a shabby square. wet and misty, creating a halo around a street lamp - an old-fashioned, gas one, the period is circa 1954/5. the mist partially obscures the surroundings. out of the mist emerges a man, gaunt, raw-boned, in a soiled trenchcoat open over a shabby, ill-fitting suit. his five o'clock shadow is just showing. his thoughts are w"
http://www.dailyscript.com/scripts/Pet-Sematary.html,"""pet sematary"" by stephen king fade in on that most persistent summer sound: crickets in high grass-- ree-ree-ree-ree... this in dark which slowly dissolves to: ext. a grave marker summer day it's a plywood cross leaning aslant. written on the crossarm in black paint which has faded: smucky he was obedient. the letters are faded. they are a"
http://www.dailyscript.com/scripts/ford-fairlane_early.html,"ford fairlane screenplay by dan waters story by jay cappe & dave arnott based on a character created by rex weiner a silver pictures production may 1,1989 [note: th"
http://www.dailyscript.com/scripts/goodfellas.html,good fellas by nicholas pileggi and martin scorcese based on the book wiseguys by nicholas pileggi
http://www.dailyscript.com/scripts/buffy_the_vampire_slayer.html,"buffy, the vampire slayer by joss whedon fade in: ext. medieval village - just before sunset we see an italian village at the height of the plague. funeral processions, decrepit houses with their windows boarded up... the stench o"
http://www.dailyscript.com/scripts/hero1.html,"fourth draft august 30, 1991 9/10/91 blue 10/1/91 pink 10/14/91 yellow 10/25/91 green 10/31/91 goldenrod"
http://www.dailyscript.com/scripts/last-of-the-mohicans-script.html,the last of the mohicans screenplay by michael mann and christopher crowe adaption by john l. balderston and paul perez and daniel moore based on the novel by james fenimore cooper also based on the 1936 screenplay by
http://www.dailyscript.com/scripts/cliffhanger_stallone.html,cliffhanger screenplay by michael france terry hayes sylvester stallone shooting draft 3/30/92 [note: the hard copy of this script contained scene numbers. these have been omitted for this soft copy.]
http://www.dailyscript.com/scripts/nightmare-b4-xmas_early.html,the nightmare before christmas story by tim burton michael mcdowell caroline thompson lyrics by danny elfman
http://www.scifiscripts.com/msol/my_girl_2.html,"my girl 2 by janet kovalcik setting: madison, pennysylvania 1974 close-up of vada sultenfuss' face vada i remember before i was born, wounded up like a fur ball in the highly overrated fetal position, luckily i'm not claustrophobic, but on"
http://www.awesomefilm.com/script/onlyyou.html,only you screenplay by diane drake
http://www.awesomefilm.com/script/manhunt.html,"manhunt written by brendan broderick and rob kerchner property of: concorde/new horizons 11600 san vicente blvd. los angeles, ca 90049 (310)820-6733 third draft 11/29/93 ext coastal road - night open on a highway road in a remote coastal town. we see car headlights approach, and we see it's a convertible with the top down, an old 60's sportsca"
http://www.scifiscripts.com/scripts/Trek/Star_Trek_VIII.htm,star trek viii first contact story by rick berman & brannon braga & ronald d. moore screenplay by brannon braga & ronald d. moore
http://www.dailyscript.com/scripts/conspiracy-theory.html,"conspiracy theory an original screenplay by brian helgeland september 12, 1996 fade in: int. manhattan streets - cab - day behind the wheel: jerry fletcher. flat-out handsome if not for his eyes. someone rash, someone making an uninform"
http://www.dailyscript.com/scripts/mimic_production.html,m i m i c a revision by matt greenberg and guillermo del toro june 19th 1996 note: the hard copy of this script contained scene numbers. they have been removed for this soft copy.
http://www.awesomefilm.com/script/suburbia.html,suburbia screenplay by eric bogosian produced by anne walker-mcbay directed by richard linklater cast list: giovanni ribisi jeff steve zahn buff amie carey sooze john cherico channel presenter samia shoaib pakeesa ajay naidu nazeer nicky katt tim jayce bartok pony parker posey erica dina spybey bee-bee ext. establishing - burnfield - day over the
http://www.dailyscript.com/scripts/beingjohnmalkovich.html,"being john malkovich a screenplay by charlie kaufman int. cheerless room - day the room is bare, dusty. a ceiling fan turns. the wall clock ticks. craig, 30 years old and small, sits at a collapsible card table. the only item on the table is a book. craig picks it up, looks at the jacket. it's entitled ""sit."" craig opens the book. it reads: ""sit sit sit sit sit..."" o"
http://www.dailyscript.com/scripts/RKO218.html,"rko 281 by john logan ridley scott scott-free productions may 1,1997 setting primarily hollywood and san simeon, 1940-1941 featured characters orson welles: boy genius age at opening of the story, january 1940: 24. william randolph hearst: press baron age at opening of the story, january 1940: 76 marion davies: hearst's mistress age at opening of"
http://www.scifiscripts.com/scripts/Trek/Star_Trek_IX.htm,star trek ix insurrection screenplay by michael pillar & rick berman rev. final draft
http://www.awesomefilm.com/script/chillfactor.html,"chill factor - scene ext. jungle/test site - horn island, south pacific - 1977- day. brynner hemmings! sam, i thought i told you to close up shop and be ready to move up the island by night-... brynner (off) ...-fall. hemmings yes, captain brynner, you did, but-but-- brynner (off) (interrupting) but... brynner ...what, sam? can't i go down to the loading dock for a few hours with"
http://www.horrorlair.com/HorrorWorld/newyork/bones.html,this portion of the screenplay is originally pages 14-26. it is presented out of order to reflect the final film. ext. blackstone ave. - 2000 - night dark night. most street lights shot out. just one or two of the eerie vapor lights left on the block. a middle-aged african-american man carries his single bag of groceries. the man listens
http://www.dailyscript.com/scripts/house-on-haunted-hill.html,house on haunted hill by dick beebe story by dick beebe & william malone adapted from the screenplay by robb white blue revisions: 13 jan 1999 p
http://www.dailyscript.com/scripts/Next_Friday.html,"ext. front lawn - overhead shot - night debo is laid out on the grass. craig (v.o.) in the movies, when you beat up the neighborhood bully; you suppose to live happily ever after. but around here; that's when all the drama begins... blue and red police lights flash over debo's"
http://www.dailyscript.com/scripts/love_and_basketball.html,"love and basketball by gina prince-bythewood opening titles slow motion. stylized. tight. the silhouette of a man and woman. they are on a blacktop basketball court, playing a sexually-charged game of one-one- one. sweat glistens. hands pull at clothes. hips bump and collide. eyes lock..."
http://www.dailyscript.com/scripts/happy-campers_early.html,happy campers a screenplay (?) by daniel waters (!) third draft october 1998 note from the person who's putting this online: here is an early draft of the screenplay.
http://www.dailyscript.com/scripts/quantumproject.html,"1 int. a biochemical landscape 1 a violent electrical storm. veins of light pulse outward, branching off into a spidery network of glowing interconnectedness we are inside a human brain. a pack of neurons fire off to the left, and rocket their way across synapses to the optic nerve. passing t"
http://www.dailyscript.com/scripts/fivefeetandrising.html,"five feet and rising by peter sollett fade in: ext. 8th street between avenues c and d - day a group of dark-skinned girls wearing cheerleading outfits align themselves in formation on the sidewalk. they begin to dance. no music can be heard. the sound of the girls' bodies is our soundtrack. we hear their strained breathing, palm"
http://www.dailyscript.com/scripts/American_Outlaws.html,"fade in: ext. woods the rangers plunge into thick woods. branches slap at them, but the sound of gunfire keeps them going. captain malcolm is still in the lead, flanked by two young men who are obviously brothers. the big, handsome one is cole younger; the skinny one with the lopsided hair is bob yo"
http://www.scifiscripts.com/scripts/Trek/Star_Trek_X.htm,star trek x nemesis screenplay by: john logan
http://www.dailyscript.com/scripts/anniversaryparty.html,"fade in: tight close - joe therrian - morning he's in his mid-thirties, his face relaxed in sleep, childlike. nestled soundly a tangle in the arms of his wife. the camera stays close. slightly blurred, soft, slowly swings round tight close - sally therrian she's in her mid-thirties, with large deep eyes. she watches her husband unguarded in sleep. her pretty face, ale"
http://www.dailyscript.com/scripts/final_destination2.html,final destination 2 by j. mackye gruber and eric bress fade in: int. dark room - night titles over: a padded wall is papered
http://www.dailyscript.com/scripts/lost-in-translation-script.html,"lost in translation by sofia coppola shooting draft lost in translation, inc. september 2, 2002 fade in: ext. nari"
http://www.dailyscript.com/scripts/The_Jacket.html,"the jacket written by massy tadjedin based on a screenplay by marc rocco april 15, 2003 a pure white screen. idyllic stillness. all of it looki"
http://www.dailyscript.com/scripts/somethingborrowed.html,"something borrowed written by dana fox first revision april 22, 2003 fade in: close on a womanĺs face, beautiful and strong. sheĺs crying. int. katĺs bedroom - new york city - day the woman is kat ellis, 30. tears stream down her fa"
http://www.dailyscript.com/scripts/crazy_love.html,"committed filmed as crazy love written by carol watson revised 3/10/04 fade in: int. bedroom - apartment - day the sweet silence of slumber. suddenly, an alarm clock on a nigh"
http://www.dailyscript.com/scripts/domino.html,"d o m i n o by richard kelly september 8, 2004 [note: the original text of this script had numbered scenes and some ""omitted"" scene sluglines, which have not been"
